С 2012 года центр [MASK] также вопросом об освещении изменения климата .	занимается
Фотограф одного журнала [MASK] с меня несколько снимков , и с тех пор журнал несколько лет давал мои рассказы со снимками из этой серии , где я выглядел неунывающим , а главное , нестареющим женихом с обручальным кольцом , выставленным вперед , подобно тому как раньше на деревенских фотографиях выставляли вперед запястье с циферблатом часов , на которых , если приглядеться , можно было узнать точное время появления незабвенного снимка .	сделал
Пока я предавался этим не слишком веселым воспоминаниям , читатель мой [MASK] мне мои рассказы , упорно именуя их статьями .	пересказывал
Уподобляясь ему , [MASK] содержание рассказа .	перескажу
Однажды один мальчик [MASK] особенно большую и красивую грушу .	подобрал
Выходя из детского сада , мальчик [MASK] воспитательницу .	увидел
В руке она [MASK] сетку .	держала
- Выходит , директор [MASK] арбуз , если воспитательница берет грушу ? - спросил я .	берет
В конце пути он сурово [MASK] у меня телефон и записал в книжечку .	взял
По данным газеты РБК , администрация президента [MASK] новые майские указы по аналогии с поручениями Владимира Путина , данными в 2012 году .	готовит
В целом указы , по его мнению , будут [MASK] продолжение централизации .	означать
В 2017 году ЕСПЧ [MASK] жалобу и запросил российские власти , была ли у государства необходимость собирать такую информацию о гражданине и располагал ли он эффективными средствами защиты .	рассмотрел
" Насколько мне известно , московское УСБ с ФСБ все-таки [MASK] внутреннюю проверку по факту утечки данных , но ее результаты решили не делать достоянием гласности " , - говорит он .	проводило
Случай , по которому появилось решение ЕСПЧ , хорошо [MASK] бессмысленность закона о персональных данных .	иллюстрирует
Газета " Известия " [MASK] это с ростом благосостояния населения .	связывает
В кризис люди [MASK] свадьбы , рождение детей и покупку жилья .	откладывают
Именно поэтому , начиная с 2014 года , мы [MASK] снижение показателя .	наблюдали
Для этой майской поездки тоже поначалу [MASK] разные направления , пока не открыли для себя идеальное место .	пробовали
Местные экскурсоводы непременно [MASK] в свой рассказ историю " знаменитого сидельца " Толи Марченко .	вставляют
Под рисками эксперт [MASK] ситуацию , когда количество пенсионеров будет превышать работающее население .	подразумевает
Все эти факторы вместе , по словам Белякова , [MASK] " очень взрывоопасную смесь " .	создадут
По данным Всемирной организации здравоохранения , впервые в истории современной России средняя продолжительность жизни сильного пола [MASK] 66 лет , а у представительниц прекрасного пола - 77 лет .	достигла
Более всего на свете прокуратор [MASK] запах розового масла , и все теперь предвещало нехороший день , так как запах этот начал преследовать прокуратора с рассвета .	ненавидел
О боги , боги , за что вы [MASK] меня ?	наказываете
Не удержавшись от болезненной гримасы , прокуратор искоса , бегло [MASK] написанное , вернул пергамент секретарю и с трудом проговорил :	проглядел
И сейчас же с площадки сада под колонны на балкон двое легионеров [MASK] и поставили перед креслом прокуратора человека лет двадцати семи .	ввели
- Так это ты [MASK] народ разрушить Ершалаимский храм ?	подговаривал
Но прокуратор , по-прежнему не шевелясь и ничуть не повышая голоса , тут же [MASK] его :	перебил
И все , кроме неподвижного прокуратора , [MASK] взглядом Марка Крысобоя , который махнул рукою арестованному , показывая , что тот должен следовать за ним .	проводили
Выведя арестованного из-под колонн в сад , Крысобой [MASK] из рук у легионера , стоявшего у подножия бронзовой статуи , бич и , несильно размахнувшись , ударил арестованного по плечам .	вынул
Марк одною левою рукой , легко , как пустой мешок , [MASK] на воздух упавшего , поставил его на ноги и заговорил гнусаво , плохо выговаривая арамейские слова :	вздернул
Сборщик податей , вы слышите , [MASK] деньги на дорогу !	бросил
- Зачем же ты , бродяга , на базаре [MASK] народ , рассказывая про истину , о которой ты не имеешь представления ?	смущал
И вновь он [MASK] голос :	услышал
Но он тотчас же [MASK] его своею волею и вновь опустился в кресло .	подавил
Арестант же тем временем [MASK] свою речь , но секретарь ничего более не записывал , а только , вытянув шею , как гусь , старался не проронить ни одного слова .	продолжал
Круто , исподлобья Пилат [MASK] глазами арестанта , и в этих глазах уже не было мути , в них появились всем знакомые искры .	буравил
- Я не [MASK] тебя , - сказал Пилат , - ты , может быть , знаешь и латинский язык ?	спросил
- И ты [MASK] это ?	проповедуешь
В частности , не [MASK] ни малейшей связи между действиями Иешуа и беспорядками , происшедшими в Ершалаиме недавно .	нашел
Но ввиду того , что безумные , утопические речи Га-Ноцри могут быть причиною волнений в Ершалаиме , прокуратор [MASK] Иешуа из Ершалаима и подвергает его заключению в Кесарии Стратоновой на Средиземном море , то есть именно там , где резиденция прокуратора .	удаляет
- Слушай , Га-Ноцри , - заговорил прокуратор , глядя на Иешуа как-то странно : лицо прокуратора было грозно , но глаза тревожны , - ты когда-либо [MASK] что-нибудь о великом кесаре ?	говорил
Но , говоря , [MASK] каждое слово , если не хочешь не только неизбежной , но и мучительной смерти .	взвешивай
Секретарь , стараясь не проронить ни слова , быстро [MASK] на пергаменте слова .	чертил
Так много лет тому назад в долине Дев [MASK] Пилат своим всадникам слова : " Руби их ! Руби их ! Великан Крысобой попался ! "	кричал
Для этой же цели , то есть для охраны Горы , прокуратор [MASK] легата отправить вспомогательный кавалерийский полк - сирийскую алу .	попросил
Но , выйдя из-под колоннады на заливаемую солнцем верхнюю площадь сада с пальмами на чудовищных слоновых ногах , площадь , с которой перед прокуратором развернулся весь ненавистный ему Ершалаим с висячими мостами , крепостями и - самое главное - с не поддающейся никакому описанию глыбой мрамора с золотою драконовой чешуею вместо крыши - храмом Ершалаимским , - острым слухом [MASK] прокуратор далеко и внизу , там , где каменная стена отделяла нижние террасы дворцового сада от городской площади , низкое ворчание , над которым взмывали по временам слабенькие , тонкие не то стоны , не то крики .	уловил
В силу всего изложенного прокуратор [MASK] первосвященника пересмотреть решение и оставить на свободе того из двух осужденных , кто менее вреден , а таким , без сомнения , является Га-Ноцри .	просит
Но не эта мысль [MASK] сейчас Пилата .	поразила
Все та же непонятная тоска , что уже приходила на балконе , [MASK] все его существо .	пронизала
Он холодною влажною рукою [MASK] пряжку с ворота плаща , и та упала на песок .	рванул
Кстати , ты [MASK] такого , первосвященник ?	знаешь
Да … если бы такой проник сюда , он горько [MASK] бы себя , в этом ты мне , конечно , поверишь ?	пожалел
И не водою из Соломонова пруда , как хотел я для вашей пользы , [MASK] я тогда Ершалаим !	напою
Но я , первосвященник иудейский , покуда жив , не [MASK] на поругание веру и защищу народ !	дам
Прокуратор тыльной стороной кисти руки [MASK] мокрый , холодный лоб , поглядел на землю , потом , прищурившись , в небо , увидел , что раскаленный шар почти над самой его головою , а тень Каифы совсем съежилась у львиного хвоста , и сказал тихо и равнодушно :	вытер
В изысканных выражениях извинившись перед первосвященником , он [MASK] его присесть на скамью в тени магнолии и обождать , пока он вызовет остальных лиц , нужных для последнего краткого совещания , и отдаст еще одно распоряжение , связанное с казнью .	попросил
Пока секретарь собирал совещание , прокуратор в затененной от солнца темными шторами комнате [MASK] свидание с каким-то человеком , лицо которого было наполовину прикрыто капюшоном , хотя в комнате лучи солнца и не могли его беспокоить .	имел
И когда этот момент наступил , прокуратор [MASK] вверх правую руку , и последний шум сдуло с толпы .	выбросил
Лишь оказавшись за помостом , в тылу его , Пилат [MASK] глаза , зная , что он теперь в безопасности - осужденных он видеть уже не мог .	открыл
Солдат , одиноко стоявший в очищенном пространстве площади со значком в руке , тревожно [MASK] им , и тогда прокуратор , легат легиона , секретарь и конвой остановились .	взмахнул
Вбросив меч в ножны , командир [MASK] плетью лошадь по шее , выровнял ее и поскакал в переулок , переходя в галоп .	ударил
Священник крестящим движением [MASK] горсть земли на Марью Николаевну .	бросил
С вокзала по соседству ветер [MASK] плаксивые пересвистывания маневрировавших вдали паровозов .	приносил
Маленьким мальчиком он [MASK] еще то время , когда именем , которое он носил , называлось множество саморазличнейших вещей .	застал
Все они скопом [MASK] какой-нибудь догмы и довольствовались словами и видимостями , а отец Николай был священник , прошедший толстовство и революцию и шедший все время дальше .	держались
Он так же , как она , [MASK] все с первого взгляда и умел выражать мысли в той форме , в какой они приходят в голову в первую минуту , пока они живы и не обессмыслятся .	понимал
Иван Иванович на правах приятельства [MASK] у богача Кологривова две комнаты во флигеле управляющего .	занимал
Иван Иванович и Николай Николаевич [MASK] эту заросль снаружи , и по мере того как они шли , перед ними равными стайками на равных промежутках вылетали воробьи , которыми кишела калина .	обходили
- Ангеле Божий , хранителю мой святый , - молился Юра , - [MASK] ум мой во истиннем пути и скажи мамочке , что мне здесь хорошо , чтобы она не беспокоилась .	утверди
Если есть загробная жизнь , Господи , [MASK] мамочку в рай , идеже лицы святых и праведницы сияют яко светила .	учини
Никто толком не [MASK] причины проволочки .	знал
Даже солнце , тоже казавшееся местной принадлежностью , по-вечернему застенчиво [MASK] сцену у рельсов , как бы боязливо приблизившись к ней , как подошла бы к полотну и стала бы смотреть на людей корова из пасущегося по соседству стада .	освещало
К Мише он [MASK] необъяснимую , вероятно , отраженную и , может быть , не ему предназначенную нежность .	выказывал
Вверх по насыпи , все время обрываясь и съезжая по песку , кондуктора и городовые неловко [MASK] тело .	волокли
Его отец , террорист Дементий Дудоров , [MASK] каторгу , по высочайшему помилованию взамен повешения , к которому он был приговорен .	отбывал
Своими листьями , похожими на слоновые уши , он [MASK] двор от палящего южного неба .	ограждал
Если ей пятнадцать лет , значит , она [MASK] право задирать нос и разговаривать с ним как с маленьким ?	имеет
Ну , конечно , она [MASK] его на место , напоминая ему , как он еще мал .	ставит
А они еще и не [MASK] алгебры .	нюхали
И неужели же текст не [MASK] совсем никаких объективных свойств , которые позволили бы отличить древность от ее имитации ?	имеет
Всю жизнь , начиная с 25-летнего возраста ( с одним не очень большим перерывом ) , я в той или иной мере [MASK] дело со студентами .	имел
Но за пределами этой близкой мне сферы я , к сожалению , [MASK] распространение взглядов и реакций , которые означают снижение в общественном сознании ценности науки вообще и гуманитарных наук в особенности .	ощущаю
Девочка - пятиклассница [MASK] мнение , что Дарвин не прав , и хороший тон состоит в том , чтобы подавать этот факт как серьезный вызов биологической науке .	имеет
И что много страшнее , прискорбно большое количество людей [MASK] подобные новости охотно .	принимает
В заключение еще раз [MASK] Александра Исаевича и … ( конец записи ) .	благодарю
" Новая газета " недавно [MASK] историю Романа Пака .	рассказала
Сначала мировой суд [MASK] иск на рассмотрение в столицу .	направил
Не вы первый [MASK] этот вопрос .	задаете
В определенный момент я [MASK] на себя ответственность и получил право говорить не " я " , а " мы " .	взял
У нас экономика , как он выразился , не [MASK] прямой зависимости от показателей инфляции в законе и неприменима к жизни обычного гражданина .	имеет
Однако большая часть распространенных стереотипов не [MASK] отношения к реальности , создавая , между тем , определенный фильтр из мифов и легенд , через который пропускается любая новая информация .	имеет
В те времена Церковь Святых последних дней действительно [MASK] полигамные браки , что - на фоне усиливающегося влияния нового учения - вызывало возмущение на территориях , где мормоны основывали свои поселения .	одобряла
Первые мормонские поселенцы [MASK] себя пионерами , а их потомки в 1901-м и в 1933-м годах соответственно объединились в две организации - Дочери пионеров Юты и Сыновья пионеров Юты .	называли
На первый месяц [MASK] небольшой меблированный домик через дорогу от университета , который обычно сдавался студентам , а до начала учебного года пустовал .	сняли
Моя жена сегодня [MASK] хлеб ( к слову сказать , это делали тогда очень многие женщины для своих больших семей . - А. Т. ) , а я где-то читал , что русские любят хлеб .	пекла
Никогда еще не [MASK] я лучшего подарка , чем этот изумительно пахнувший , свежевыпеченный , теплый хлеб , который принес абсолютно незнакомый человек просто потому , что захотел помочь тем , кто еще не обжился в чужой стране .	получала
На одну небольшую зарплату Ричарда они [MASK] шестерых детей .	подняли
- Тогда не [MASK] ее в магазине , я привезу свежую " .	покупайте
Вечером Джон , муж коллеги , [MASK] нам и сам сажает шесть кустов замечательной сирени , которая потом цветет каждую весну буйным цветом , напоминая о доброте Анетт и ее мужа .	привозит
Тем более , что сам Ричард недавно [MASK] серьезную операцию .	перенес
Все восемь детей Ричарда [MASK] высшее образование , покинули Сидар-сити и успешно работают : кто-то в финансовой сфере , кто-то выбрал инженерное дело или создал собственный бизнес .	получили
Для семейного стола женщины , как прежде , [MASK] свежий хлеб , мужчинам поручены гамбургеры и сосиски , дети ждут вечера , чтобы у костра жарить на палочках маршмэллоу .	пекут
Когда приезжали наши московские внуки , Ричард и Айрин всегда [MASK] их на ранчо .	брали
История его создания [MASK] особого внимания , так как показывает отношение жителей штата к образованию как одной из важнейших жизненных ценностей .	заслуживает
Этот исторический корпус по-прежнему [MASK] университетский кампус .	украшает
А Старушке Соррел столетие спустя в кампусе Университета Южной Юты [MASK] бронзовый памятник .	поставили
С самого основания университет [MASK] для себя особую миссию : не только обеспечить своим студентам хорошее современное образование для будущей карьеры , но и привить им высокие морально - этические принципы с упором на Integrity .	выбрал
" Студентоцентрическая " модель [MASK] успех и процветание Университету Южной Юты .	принесла
Вот уже двенадцать лет " Принстон ревью " [MASK] его одним из лучших в США по соотношению качества и цены обучения ( стоимость учебы для местных студентов одна из самых невысоких в стране , поэтому после окончания университета у них самый низкий долг по займу на обучение ) .	называет
Через шесть лет он [MASK] этого решения .	добился
Обычно , если спонсор выделяет значительную сумму на строительство здания , оно [MASK] его имя или имя , которое он сам называет .	носит
Когда засиживаешься там поздним вечером ( а большую часть недели библиотека открыта до полуночи ) , вид усыпанного звездами неба над головой [MASK] просто феерическое впечатление !	производит
В 1997 году Университет [MASK] столетие основания педагогического училища , " правопреемником " которого он считает себя .	отмечал
И за восемь лет [MASK] и Кедровку так же радикально , как до того преобразовал университет .	изменил
В 2000 году именно Шекспировский фестиваль Юты [MASK] самой престижной премии в области театрального искусства - Tony Award , которая является эквивалентом " Оскара " - в номинации " выдающийся региональный театр " .	удостоился
Фред Адамс ( который до 2016 года был президентом фестиваля ) [MASK] это мероприятие в 1961 году как возможность привлечь в Сидар-сити любителей театра из Юты и соседних штатов : Невады , Айдахо и Аризоны .	задумал
Доход от двухнедельного театрального марафона , который собрал свыше трех тысяч зрителей , [MASK] две тысячи долларов , что позволило запланировать второй сезон .	составил
В настоящий момент бюджет фестиваля [MASK] семь миллионов долларов , из которых только 30 % - инвестиции государства и частных лиц .	составляет
Все годы Фред Адамс лично [MASK] и приветствовал зрителей на каждом представлении .	встречал
Возможно , мои заметки кому-то [MASK] рождественские сказки , кто-то справедливо скажет , что можно привести истории не столь привлекательные как о Юте , так и о ее жителях .	напомнят
Тревога и сознание внезапной ответственности [MASK] дежурного по институту .	охватили
С риском для себя он [MASK] телефоны и побежал по лабораториям , шёпотом сообщая их начальникам о приезде чрезвычайных гостей , дабы они могли удвоить бдение .	оставил
Рубин же , не найдя в профессоре Челнове достойного слушателя баллады о Моисее , теперь с тихим жаром [MASK] её Глебу .	читал
Недавно Глеб очень [MASK] его за широту взглядов в стихотворном этюде об Алёше Карамазове - одновременно в шинели юнкера отстаивающем Перекоп и в шинели красноармейца берущем Перекоп .	хвалил
И так же они [MASK] себе отчёт , что хотя Рубин действительно читает звуковиды , но на экзамене можно и сплошать , а сплошать нельзя - это значило бы кувырнуться с шарашки в лагерную преисподнюю .	отдали
И обо всём этом они не [MASK] ни слова , а только понимающе глянули друг на друга .	сказали
- Вот нам сейчас Лев Григорьич и [MASK] своё умение .	покажет
Кто-нибудь из дикторов … ну , скажем , Глеб Викентьич … [MASK] в акустической будке в микрофон какую-нибудь фразу , ВИР её запишет , а Лев Григорьич попробует разгадать .	прочтёт
Щадя нетерпение присутствующих , он не [MASK] секрета из своей жреческой премудрости и тут же производил разметку по мокрой ленте красно - синим карандашом , как всегда плохо очиненным .	делал
- Вот видите , некоторые звуки не [MASK] ни малейшего труда отгадать , например , ударные гласные или сонорные .	составляет
Зато " у " [MASK] своеобразие даже и вдали от ударения , у него вот здесь характерная полоска низкой частоты .	сохраняет
Антонина Валерьяновна , не вы ли у меня [MASK] лупу ?	взяли
Шустерман не первый раз [MASK] Рубина этими перезаправками .	изводил
Тем временем Рубин уже [MASK] слово " глухим " и отгадывал четвёртое .	разгадал
И тут-то Рубин , случайно подняв глаза , [MASK] недобрый исподлобный взгляд Шустермана .	встретил
Это чувство родства с ним [MASK] мне силы жить здесь .	дает
Элементы русской архитектуры - резные деревянные балкончики и наличники - [MASK] Абрамцево , белоснежные и бледно-розовые усадьбы , заросшие сиренью , возвращают меня в нашу тихую подмосковную жизнь .	напоминают
Видимо , большое пространство [MASK] желание писать большие панорамные пейзажи , с небом и далями .	вызывает
Дома же , наевшись до отвала , развалившись по-барски на хозяйской кровати , [MASK] пузо : почесать .	подставляет
С тех пор она [MASK] меня стороной .	обходит
Почти каждый день я [MASK] почтенную 80-летнюю баронессу с идеально уложенными волосами и в белом пальто , безупречно воспитанную , в отличие от ее черной тявкающей собачонки ( тут собакам лаять не полагается ) .	встречаю
Проходя по серпантину на горке , я внезапно [MASK] троих мужчин в черных костюмах .	увидела
Ощущение бессмысленности многих запретов , беспричинного страха [MASK] меня повсюду .	преследует
При " похолодании " , когда температура падает до плюс 10 , они срочно [MASK] песцовые шубы розовых и бирюзовых тонов на свои " хрупкие " плечи .	водружают
Респектабельные немцы средних лет в дорогих джинсах , белых рубашках и пиджаках ( часто красных или розовых ) [MASK] под руку малазийских женщин неприглядной наружности , похожих на робких обезьянок .	ведут
Мрачные толпы женщин в черных балахонах и в забралах [MASK] Баден в августе .	атакуют
Только их ярко сверкающие любопытные глаза [MASK] интерес к жизни .	выдают
С начала XVIII века Баден [MASK] популярность у русской знати , так как баденская принцесса Луиза вышла замуж за русского царя Александра I .	приобретает
Княгини Трубецкая и Гагарина [MASK] первый камень в русской церкви Преображения Господня , иконостас которой сделан в стиле росписей Васнецова .	заложили
Если вспомнить Гоголя , Достоевского , да что там - " Пиковую даму " , вы сразу [MASK] всех персонажей , достаточно зайти в казино на пол часа !	узнаете
На верхних же этажах казино иногда [MASK] роскошные русские свадьбы с дебелыми невестами , под пьяные крики , песни " под Пугачеву " , с сотнями приезжих гостей .	празднуют
Если прочитать первую страницу тургеневского " Дыма " , вы [MASK] тот дух Бадена , который еще не выветрился .	почувствуете
В тот единственный раз , что я там была , пока я плавала , русская служительница [MASK] у меня из ящика с вещами 50 евро .	украла
Еврейская же община Бадена , скандально проворовавшаяся несколько лет назад , по-прежнему исподволь [MASK] свои делишки .	продолжает
- Предлагаемый пенсионный возраст не [MASK] у нас сильного отторжения , поскольку он будет установлен не сразу , а через 10 лет для мужчин , через 16 лет для женщин .	вызывает
- Но ведь власти не [MASK] комплексного подхода к этой проблеме - мы до сих пор не знаем , как будет функционировать пенсионная система в будущем .	продемонстрировали
Потому что те люди , которые по разным причинам оказались за чертой бедности , благодаря этому [MASK] бы подушку безопасности .	получили
Мы уже сейчас [MASK] на пенсии в процентах к ВВП столько же , сколько развитые страны с более пожилым населением , при этом у нас высокие страховые взносы и не очень высокие пенсии .	тратим
Противники повышения пенсионного возраста часто [MASK] желаемое за действительное .	выдают
Я не до конца [MASK] финансовые основы этого аргумента .	понимаю
Норвегия , которая увязывала нефтяные деньги и пенсии , очень долго [MASK] большой фонд .	копила
Так что я не [MASK] коллег , которые ищут какого-то магического спасения в нефти .	понимаю
- У многих людей [MASK] сильное отторжение либертарианские идеи , которых вы придерживаетесь .	вызывают
В этом смысле , Лондон [MASK] в себе судьбу Запада как такового , особенно Европы , которая еще сто лет назад владела большей частью земного шара .	воплощает
Несколько европейских арт-изданий [MASK] меня вести своего рода дневник лондонской арт-жизни .	попросили
Премьер-министр Бенджамин Дизраэли [MASK] королеву Викторию принять еще один - доселе неслыханный - титул " императрицы Индии " .	уговорил
В июле 1856 года , перед сипайским восстанием , Линней Трайп [MASK] должность официального фотографа колониальной администрации Мадраса .	получил
В марте 1857 года он [MASK] работу , которую пощадили неудобства военного времени - возмущение не распространилось на эту часть Индостана .	начал
В апреле 1858 года Трайп [MASK] путешествие по Западной Индии , сделав десятки снимков в Шрирангаме , Трихинополи , Мадураи и многих других местах .	завершил
Новоиспеченный полковник Трайп [MASK] Индию в 1873-м , в следующем году он вышел в отставку и вместе с семьей поселился в маленьком городке Давенпорте , где и скончался в 1902 году в возрасте восьмидесяти лет .	покинул
В 2013-м здесь [MASK] параферналию Дэвида Боуи , всю красу его костюмов , картин , фотографий и мелких документов , вроде черновика текста песни Heroes .	показали
В Британском музее власть Британии над миром [MASK] характер научный и идеологический , а здесь , в V&A , - эстетический .	носит
В общем , посетители выставки Александра Маккуина , даже если они и не подозревали об этом , [MASK] оммаж Британской империи , которая раньше представляла собой несметные владения и бесчисленные племена , направляемые цивилизующим скипетром королевы Виктории , а сейчас искусно поддерживает господство лишь с помощью своей ( действительно первоклассной , не поспоришь ) поп-культуры .	приносили
В частности , именно здесь [MASK] бедолагу офицера , который умудрился напиться перед смотром с участием адмирала и - уже во время построения - вести себя вызывающе , дерзко и даже чуть ли не с применением физической силы в отношении вышестоящего офицера .	вздернули
Люди , уже несколько поколений перебирающиеся в Британию с территории бывшего раджа , [MASK] здесь свой Радж , наоборотный .	создают
Британцы , которые высаживались на индийское побережье триста лет назад , в XX столетии [MASK] назад индийцев , которые высадились на британское побережье .	привезли
После Парижского мира Гордон в составе специальной миссии [MASK] новые границы между Российской и Османской империями .	проводил
В начале 1870-х он [MASK] некоторое время на Дунае , инспектировал британские военные кладбища в Крыму , после чего оказался в Стамбуле , где ему предложили поступить на службу к египетскому хедиву .	провел
Так вот , в Судане Гордон [MASK] больших успехов - восстановил мир , подавил мятежи , приложил огромные усилия , чтобы покончить со здешней работорговлей .	добился
Только слепой не [MASK] отпечатка этого контекста абсолютно на всем , что здесь выставлено , от мельчайшей детали до общей концепции .	увидит
В отличие от слухов о последнем наряде героя , у Джоя лучший солдат империи Гордон [MASK] смерть не в белом , а в элегантном черно - красном одеянии : европейские военные брюки , красная восточная рубаха , сверху также черная или темно-коричневая куртка , на голове алая египетская феска , на боку сабля в позолоченных ножнах , в правой руке пистолет .	встречает
А вот Джой [MASK] главную для западного человека драму империи - драму персональную , в ней переплетены благие намерения , авантюризм , морализм , жестокость , мужество , коварство и неистребимое стремление выходца из британского среднего класса куда-то туда , за горизонт , подальше от сырого и мрачного острова , управляемого туповатыми аристократами .	ухватил
